name,measurement_unit,weight_per_unit,protein_per_100g,calories_per_100g,fat_per_100g,carbohydrates_per_100g,alcohol_percentage
wasa volkoren,g,,10,333.3,2,58,0
goede start,g,,0.5,356,39,1.1,0
pindakaas,g,,21,664,58,11,0
poedersuiker,g,,0,400,0,100,0
puree de pois chiches (hoemoes),g,,6.2,326,30,6.5,0
100% pindakaas naturel,g,,27,639,53,10,0
greek style yogurt,g,,4.6,121.6,10,3.2,0
spa reine,g,,0,0,0,0,0
energy drink,ml,,0,46,0,11,0
eat plants free of palm,g,,1,540,60,4,0
pindakaas stukjes pinda,g,,20,651,55,15,0
excellence 85% cacao rich dark,g,,12.5,584,46,22,0
pindakaas met stukjes noot,g,,27,639,53,10,0
tomato ketchup,g,,1.2,102,0.1,23.2,0
franse magere kwark,g,,8.5,52,0.5,4.6,0
kruidenketchup curry,ml,,0.8,135,0.3,31.5,0
coca cola,ml,,0,0.3,0,0,0
coca-cola original taste,ml,,0,42,0,10.6,0
chocoladehagel puur,g,,5,425,15,67,0
brinta,g,,15,645,2.1,61,0
fries roggebrood,g,,5.9,202,2.1,35,0
halvarine,g,,0.5,366,39,1.1,0
100 % pindakaas,g,,26,602,48,17,0
geröstete mandel ohne zucker,ml,,0.5,14,1.1,0,0
nutella,g,,6.3,539,30.9,57.2,0
zout met jodium,g,,0,0,0,0,0
spa reine natuurlijk mineraalwater,ml,,0,0,0,0,0
zaanse mayonaise,ml,,1.2,735,80.4,1.4,0
kefir naturel,g,,3.5,58,3.1,4,0
yoghurt griekse stijl,g,,4.5,127.2,10,5,0
100% pindakaas,g,,27.3,600,47.3,12,0
hoemoes less salt,g,,6.4,331,30.4,6.1,0
original voordeelpak,g,,0.5,378,42,0.5,0
light voordeelpak,g,,0.5,269,28,3.9,0
haver barista edition,ml,,1.1,61,3,7.1,0
soya no sugars,ml,,3.3,33,1.8,0,0
"roomboter met koolzaadolie, ongezouten",g,,0.5,679,75,0.6,0
puur hagelslag,g,,5.2,446,16,67,0
oreo original,g,,5.6,472.7,19,67,0
vega paté,g,,6.1,253,23,5.2,0
belvita breakfast chocolate,g,,7.9,439,14,66,0
roomboter - ongezouten,g,,0.6,748,82.5,0.8,0
margarine,g,,0.1,540,60,0.4,0
muhammara,g,,3.6,215,11.8,22.1,0
crunchy muesly chocolate,g,,11,405,13,51,0
goudkuipje,g,,14,243,20,1.7,0
granola protein crunch noisettes amande,g,,21,438,23,29,0
melk verse milbona halfvolle melk hutri-score,ml,,3.7,48,1.6,4.6,0
edelbitterschokolade mild 90%,g,,10,592,55,14,0
lays oven baked roasted paprika,g,,5.9,440,13,72,0
chips naturel,g,,6.2,513,30,53,0
knäckebröd vezelrijk,g,,13,333,5,46,0
aardbeien confiture,g,,0.4,241,0.1,59,0
franse kwark mager,g,,9,59,0.5,4.4,0
amandeldrink,ml,,0.5,15,1.1,0.8,0
hazelnootpasta zonder palmolie,g,,5.6,547,34,55,0
original,g,,0.5,378,42,0.5,0
barle duc 2 literwater,g,,0,0,0,0,0
tomato frito,ml,,1.1,73,3.5,9.3,0
californian walnuts,g,,15.7,673.3,69,3.7,0
sandwich spread naturel,g,,1.6,235,19,15,0
langlekker halfvolle melk,ml,,3.7,49,1.5,4.9,0
schuddebuikjes kleine speculaasjes voor op de boterham,g,,6,478.6,19,68,0
protein & low carb crackers,g,,35.4,484,27.8,15.2,0
choco pops,g,,10,380,2.3,76.7,0
yoghurt griekse stijl 2% vet,g,,6,60.7,2,4.7,0
cottage cheese light,g,,13,72,0.4,4,0
pindakaas met stukjes pinda,g,,19.3,646.7,54.7,22.7,0
roomkaas garlan,g,,4.8,267,26,3.1,0
tuc original,g,,8.3,482,19,67,0
cruesli 4 nuts,g,,8.5,462,19,57,0
yoghurt griekse stijl naturel,g,,3.4,122,10,4.2,0
knäckebröd sesam,g,,14,392,9.5,57,0
ah puur en eerlijk eieren biologisch,g,,12,131,9.1,0.2,0
bio barista - biologische schuimbare haverdrank,g,,1,59,3.2,6.3,0
pringles original,g,,5.9,534,31,56,0
dijon senf,g,,7,151,11,3.5,0
soya original,ml,,3,39,1.8,2.5,0
biscoff à tartiner,g,,2.9,584,38.1,57,0
philadelphia,g,,7.4,148,11,5.2,0
cola zero,ml,,0.0,0.3,0,0,0
plantaardige kwark nature,g,,5.6,68,3.3,2.6,0
crunchy muesli 4 nuts,g,,11,442,15,50,0
kefir naturel,ml,,3.4,44,1.5,3.8,0
knoflook & fijne kruiden,g,,6.8,333,32.9,2.3,0
extra dark chocolate,g,,11,605,51.9,16.2,0
magere milde kwark | naturel,g,,10,55,0.1,2.7,0
magere kwark,g,,8.5,52,0,4.6,0
hummus naturel,g,,6,302,26,8.8,0
grand' italia pesto alla genovese,g,,7.1,470,45,8.5,0
granola nuts & seeds,g,,22,469.4,33,20,0
zonnebloemolie,g,,0,828,91.9,0,0
twinkelz,g,,5.4,441,15,67.6,0
high protein greek yoghurt 5% fa,ml,,9.5,105,5.1,4.2,0
bastogne original,g,,5.3,472.2,20,71,0
alpro barista oat,ml,,0.8,59,3,6.7,0
mcvitie's digestive original,g,,7,483,21.3,63.6,0
rinse appelstroop,g,,1.8,283,0,67,0
skyr 0% fat naturel,g,,10,60,0,4,0
langlekker volle melk,g,,3.7,67,3.6,4.8,0
oven baked original chips,g,,5.9,442,13,73,0
mild&creamy no sugars,g,,4,42,2.3,0,0
original,ml,,0,42,0,10.6,0
biologisch volle melk,g,,3.3,64,3.6,4.6,0
salsa di soia,ml,,9.7,107,0,6.9,0
griekse stijl yoghurt,g,,4.3,125,10,3.8,0
cruesli chocolade,g,,8.1,455,19,57,0
pindakaas 100% met stukjes,g,,24,606,50,11,0
cottage cheese,g,,12,88,3.7,1.6,0
maestrichter stroop,g,,1,271,0,66,0
ketchup zero,g,,1.6,44,0.1,5.4,0
chocolat crunch,g,,11.1,333,6,51.3,0
chocoladehagel melk,g,,5.7,450,15,72,0
bio rijst wafels naturel,g,,7.8,389.6,2.6,80.5,0
100% pindakaas met stukjes,g,,27,597,47,12,0
tofu,g,,13,113,5.9,0.8,0
volle melk,ml,,3.3,63,3.5,4.5,0
tomato ketchup,ml,,1.2,102,0.1,23.2,0
pecan nuts natural,g,,11.5,725,71.4,4.2,0
haver drink,ml,,0.6,50,1.4,8.1,0
nuts (zero sugar added),g,,9.1,439,19,47,0
mayonaise,ml,,0.9,640,69,3.5,0
authentic greek yoghurt,g,,3.2,35.2,2,1.1,0
muesli,g,,22,429,16,39,0
oat no sugars,ml,,0.7,44,1.8,6.8,0
hazelnootpasta met chocoladesmaak,g,,3.7,551,33.3,57.3,0
honing,g,,0.4,320,0,80,0
magere franse kwark,g,,9,52,0,4,0
nutella hazelnootpasta,g,,6.3,539,30.9,57.5,0
haver mout fijn,g,,13.2,371,6.7,59.5,0
chocolade hagelslag puur,g,,5.9,442,16,65,0
maiswaffels,g,,6.5,385,0.7,87,0
corn flakes,g,,7,378,0.9,84,0
sojasaus,ml,,10,77,0,3.2,0
extra vierge olijfolie,ml,,0,828,92,0,0
appelstroop,g,,2,285,0.2,67,0
pringles sour cream,g,,6.3,517,29,56,0
blauwe bosbes soya,g,,3.7,69,2.1,8.1,0
volkoren beschuit,g,,15,397,6.6,64,0
fris & romig,g,,4.5,252,24.5,3,0
mini crackers naturel,g,,11,437,12,69,0
ah biologisch cottage cheese,g,,13,92,4,1,0
tonijn naturel,g,,27.8,118,0.8,0,0
paprika chips,g,,6,507,29,54,0
soya unsweetened plant based,ml,,3,34,1.7,1.4,0
doritos sweet chili,g,,6.4,477,22,60,0
griekse yoghurt,g,,4.5,128,10,5,0
ah groene pesto,g,,4,365,36,5,0
fritessaus classic xl,g,,0.6,295,26,14,0
hoemoes tomaat basilicum,g,,5.6,286,25.9,6.1,0
hoemoes rode biet,g,,5.3,269,23.9,6.4,0
liefde & passie 100% spelt,g,,11,314,10,43,0
soja drink,ml,,3,40,1.7,3.1,0
soilmates healthy oil,g,,0,900,100,0,0
volle kwark,g,,7,115,8,4,0
pepsi zero sugar,ml,,0.1,0.4,0,0,0
zonnebloem olie,g,,0,828,92,0,0
naturel,g,,6.2,510,29,55,0
original philadelphia,g,,5.4,223.1,21,4.3,0
baba anoush,g,,1,320,31.9,6.6,0
chocomel,ml,,3.2,87.2,2.7,12,0
hüttenkäse,g,,12,88,3.8,1.6,0
hellmann's real,ml,,1,667,73,1.2,0
whole-wheat tortilla wraps,g,,9.5,280,4.7,46,0
halfvolle melk,ml,,3.5,48,1.5,5,0
blue band,g,,0.5,621,69,0.5,0
lu mini crackers olijfolie & oregano,g,,10,431,13,66,0
real,ml,,1,681,75,1.3,0
excellence noir corsé 78% cacao,g,,10,576,46,24,0
sambal oelek,g,,1.7,50,0.5,8.4,0
gebakken uitjes,g,,6,590,44,40,0
bolletje beschuit,g,,15,409,5.2,74,0
sensation thai sweet chilli flavour,g,,6.4,489,25,56,0
hazelnootpasta veel hazelnoten,g,,6.7,551,34,53,0
tomato beanz,g,,4.8,81,0.4,15.5,0
cacao,g,,22.2,391,21,12.6,0
curry saus,ml,,0.6,99,0.2,23,0
crunchy haverkoek,g,,7.4,472,20,61.8,0
skyr classic,g,,11,62,0.2,4,0
pure ierse boter,g,,0.7,748,82.5,0.7,0
ah ribbel chips naturel,g,,6.1,528,31,54,0
hummus zongedroogde tomaten,g,,5,297,25.8,8.8,0
zuivelspread,g,,7.8,188,16,3.3,0
lindt excellence dark orange intense,g,,7,535,32,51,0
light zout,g,,0,0,0,0,0
fanta orange,g,,0,19.1,0,4.5,0
bio olio extra vergine di olivia,ml,,0,823,91,0,0
mayonaise,g,,1.7,742,81.5,0.4,0
heineken bier,ml,,0,42,0,3.2,6.3
beschuit volkoren,g,,16.4,387,7.6,59.6,0
zonnebloemolie,ml,,0,828,92,0,0
cruesli zero sugar added chocolate,g,,8.7,435,19,48,0
palmvrij smeren,g,,0,540,60,0,0
botergoud ongezouten roomboter,g,,0.5,744,82,1,0
volle yoghurt,ml,,5,64,3.1,4,0
tomato frito bio,ml,,1.1,71,3.2,10,0
protein cocoa hazelnut bars,g,,16.1,421,21.7,32.6,0
popcorn sweet & salt,g,,5.7,468,22.6,57,0
mozzarella 20+ light,g,,20.5,165,8.5,1.5,0
hummus,g,,6,269,22.6,7.1,0
kippenbouillon tabletten,g,,0.1,3,0.1,0.2,0
protein peanuts & dark chocolate,g,,22.8,510,30.5,32.4,0
extra vierge,g,,0,828,92,0,0
bio amandel drink,g,,0.5,15,1.1,0.5,0
mango passievrucht,g,,5.9,104,2.9,13.8,0
"high protein greek yogurt 1,5% fat",g,,10,74,1.5,4,0
oatly! bio hafer/oat,ml,,1.1,39,0.5,7.2,0
halfvolle  melk,g,,3.7,48,1.6,4.6,0
granola super proteine,g,,16.7,509,32,35.7,0
tomato passata,g,,1.8,40,0.1,7.2,0
gehackte tomaten in tomatensaft,g,,1.3,26,0.2,4,0
natuurlijk mineraalwater,ml,,0,0.1,0,0,0
melk chocolade 32%,g,,7.7,545,33,52,0
tortillas,g,,8,280,5.6,47,0
extra dark 74% cocoa,g,,9.9,571,42,32,0
sauce ketjap manis,ml,,6.6,207,0,45.2,0
thin crisp,g,,10.8,345,2.8,59.2,0
merci,g,,7.8,563,36.1,49.9,0
fjord seigle complet,g,,10.6,349,0.9,67.5,0
mandarijnen,g,,0.7,46,0.1,9.9,0
pringles hot & spicy,g,,4.4,504,31,51,0
skyr vanille,g,,8.6,73,0,8.6,0
bio körniger frischkäse,g,,13,105,4.5,3.5,0
produit de boulangerie à la farine complète de seigle et au lait écrémé 300g,g,,10,338,2,60,0
85% cacao,g,,10,585,50,16,0
campina botergoud grasboter ongezouten,g,,1,744,82,1,0
"chocolade pasta, puur",g,,2.5,576,39,52,0
smokey barbecue paprika flavour,g,,8.1,375,2.1,78,0
bananen,g,,1,87,0.2,20,0
tijger volkoren,g,,11.1,222.9,1.7,37.1,0
pindakaas 100% naturel,g,,27,630,50,13,0
sea salt & cider vinegar,g,,5.8,503.3,25,51,0
crème fraîche,g,,2.4,292,30,3,0
franse mosterd mild,g,,5.3,104,5.9,4.2,0
biscoff,g,,4.9,484,19,72.9,0
skyr nature biologique,g,,11,63,0,4,0
tonijn in olijfolie,g,,21,210,14,0.1,0
matzes,g,,10,328.6,1.4,70,0
bugles nacho cheese flavour,g,,5.6,519,31,55,0
speculoos creamy,g,,3.4,584,38.7,55,0
cheeky cheesy,g,,8.8,387.5,7.5,81.2,0
knäckebröd volkoren,g,,12.7,392,10.2,56.6,0
olio extra vergine di oliva,ml,,0,821,91,0,0
special kellogs original,g,,8,392,1.3,84,0
plain soya pot,g,,4.2,46,2.2,2.1,0
organic super soft medium tortilla whole wheat&amp;whea,g,,7.3,303,5.6,54,0
plantaardige kip-kerrie salade,g,,5,370,33.8,10.1,0
maiskorrels,g,,2.6,84.3,1.4,14,0
knackerbrod met zonnebloempitten,g,,16,436,10,68,0
crackers,g,,35,484,26,14,0
protein lentil cakes leev,g,,27.3,362,1,58.3,0
crunchy muesli,g,,10.1,416,10.2,67.5,0
cruesli zero sugar added - strawberry & peach,g,,7.5,424,17,48,0
chips,g,,6.2,504,28,53,0
mozzarella,g,,19,201.6,19,1.2,0
tomatenketchup,ml,,1.2,87,0,20,0
halvarine goed begin,g,,0,361,39,2.4,0
100% amandel pasta,g,,27,636,54,6.2,0
biologische eieren,g,,12.3,132,9.1,0.2,0
hagelslag melk twinkelz,g,,3.6,463,17.1,69.3,0
bloemenhoning,g,,0.4,326,0,81,0
penne volkoren,g,,14,338,2,62,0
tonijnstukken in water,g,,23.5,99,0.5,0.1,0
kwark bosvruchten,g,,12.4,66,0.4,3.6,0
intense puur,g,,8.9,420,20,48,0
quaker cruesli chocolate ten minste houdbaar tet d,g,,8,455.6,19.1,57.8,0
granola protein peanut butter,g,,20,467,28,42,0
monster energy,ml,,0,47,0,12,0
cashew nuts roasted,g,,18.7,625,50.6,21.9,0
wortel wraps,g,,10,290,4.9,48,0
hak kleine rode kidneybonen,g,,7.7,103,0.5,12.8,0
sardines huile,g,,23,227,15,0,0
agavendicksaft,g,,0.5,305,0.5,75,0
nutella plant-based,g,,6.8,534,31.8,53.4,0
se lays paprika flavour,g,,6,507,29,54,0
havervlokken,g,,13.5,372,7,58.7,0
beyond burger,g,,16,196,12,5.6,0
ketjap manis,ml,,3.4,245,0.5,57,0
smeren zonder palmolie light,g,,0.1,320,35,0.5,0
"mosterd, coarsely ground",g,,6.5,130,9,3.2,0
maria brosse biscuits,g,,7.7,438,10.2,78,0
strawberry yogurt,g,,3.6,68,2.1,8.1,0
hoemoes zondegroogde tomaat,g,,5.5,288,25.6,7.1,0
fruit- & notenrepen,g,,6.6,374.3,11,56,0
roomboter stroopwafels,g,,3.6,453.8,21.0,61.5,0
keukenzout,g,,0,0,0,0,0
roomboter,g,,0.6,745,82,0.6,0
b'tween zero witte chocolade,g,,6.8,338,8.8,50,0
coke,ml,,0,42,0,10.6,0
zaanse mayonaise,g,,1.2,735,80.4,1.4,0
fruitstroop 100% appel,g,,0.8,265,0.1,63,0
ongezouten roomboter,g,,0.6,745,82,1,0
friteslijn,ml,,0.7,100,5.3,10,0
spéculoos crunchy,g,,3.2,571,35.7,58.8,0
goed begin boter,g,,0,350,38,1.8,0
lurpak smeerbaar,g,,0.5,679,75,0.6,0
bio roomboter ongezouten ah,g,,0.7,745,82,0.8,0
bronwater,ml,,0,0,0,0,0
pindakaas creamy,g,,18,663,58,15,0
roeryoghurt griekse stijl,g,,4.5,122,10,3.5,0
biologische halfvolle melk,ml,,3.5,46,1.5,4.5,0
hoemoes spicy mango,g,,4,252,18.7,15.7,0
mineral water,ml,,0,0,0,0,0
yofresh,g,,1,289,26,12,0
biologische halfvolle yoghurt,g,,4.5,53,1.6,5.2,0
alpro lait vanille,ml,,3,57,1.8,6.7,0
